"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-01","5.14",,"0.00",,"0.0","0.0",,"41","23",,"  200","   40","13.0","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-02","12.30",,"0.40",,"5.6","0.0",,"35","22",,"   20","   20","19.9","25.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-03","16.11",,"0.30",,"3.4","9.1",,"22","11",,"  320","  330","31.1","38.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-04","4.70",,"0.00",,"0.0","9.1",,"29","8",,"  220","  220","15.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-05","4.03",,"0.18",,"0.0","5.9",,"53","18",,"  180","  180","16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-06","18.12",,"0.35",,"0.0","0.0",,"60","13",,"  270","  270","36.0","45.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-07","18.79",,"0.00",,"0.0","0.0",,"13","4",,"  280","  270","32.0","42.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-08","7.61",,"0.00",,"0.0","0.0",,"26","10",,"  250","  220","15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-09","3.58",,"0.00",,"0.0","0.0",,"35","24",,"   10","  360","12.1","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-10","3.80",,"0.42",,"0.0","0.0",,"37","27",,"   50","   20","8.9","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-11","9.62",,"0.76",,"0.0","0.0",,"61","36",,"  180","  200","21.9","33.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-12","12.53",,"0.01",,"0.0","0.0",,"52","33",,"  310","  290","23.9","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-13","6.04",,"0.00",,"0.0","0.0",,"57","28",,"  190","  180","19.9","23.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-14","6.71",,"0.17",,"0.0","0.0",,"51","37",,"  220","  230","16.1","21.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-15","5.14",,"0.00",,"0.0","0.0",,"48","35",,"  330","  330","15.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-16","6.93",,"0.00",,"0.0","0.0",,"39","27",,"  310","  320","15.0","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-17","3.58",,"0.00",,"0.0","0.0",,"45","25",,"  230","  210","10.1","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-18","12.53",,"0.00",,"0.0","0.0",,"39","23",,"  260","  260","23.9","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-19","10.51",,"0.00",,"0.0","0.0",,"42","21",,"  250","  240","25.1","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-20","11.63",,"0.00",,"0.0","0.0",,"51","33",,"  270","  270","29.1","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-21","14.99",,"0.70",,"13.5","0.0",,"38","14",,"   10","   10","25.1","33.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-22","14.09",,"0.01",,"0.0","13.0",,"16","4",,"  340","  340","25.9","33.1",,,,,,,,"    1"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-23","11.63",,"0.00",,"0.0","11.8",,"22","8",,"  260","  260","23.9","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-24","11.63",,"0.00",,"0.0","7.9",,"19","8",,"  250","  270","18.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-25","13.87",,"0.15",,"2.0","5.9",,"27","19",,"  210","  230","23.0","32.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-26","8.50",,"0.03",,"0.4","7.1",,"31","15",,"  290","  290","23.0","32.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-27","11.86",,"0.00",,"0.0","5.9",,"46","21",,"  310","  310","32.0","38.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-28","10.07",,"0.00",,"0.0","3.1",,"21","12",,"  320","  300","23.0","28.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-29","10.51",,"0.07",,"1.0","3.1",,"21","12",,"  270","  240","19.9","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-30","4.47",,"0.00",,"0.0","3.1",,"28","10",,"  200","  240","10.1","13.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-01-31","3.80",,"0.00",,"0.0","3.1",,"46","20",,"  260","  230","10.1","12.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-01","2.24",,"0.00",,"0.0","1.2",,"48","30",,"  170","  170","12.1","14.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-02","3.80",,"0.00",,"0.0","0.0",,"53","29",,"   10","  350","14.1","16.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-03","10.74",,"1.15",,"3.5","0.0",,"45","31",,"   40","  360","19.9","23.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-04","5.82",,"0.01",,"0.0","3.1",,"35","24",,"  360","  350","12.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-05","10.96",,"1.43",,"0.0","3.1",,"38","31",,"  310","  320","28.0","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-06","10.51",,"0.00",,"0.0","2.0",,"32","24",,"  320","  340","23.9","33.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-07","6.93",,"0.00",,"0.0","2.0",,"35","22",,"  280","  300","15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-08","4.47",,"0.00",,"0.0","1.2",,"30","24",,"  240","  240","13.0","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-09","5.37",,"0.15",,"2.7","1.2",,"31","22",,"  290","  320","13.0","19.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-10","9.84",,"0.00",,"0.0","3.1",,"29","18",,"  330","  340","18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-11","9.40",,"0.00",,"0.0","2.0",,"27","16",,"  340","  330","18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-12","8.72",,"0.05",,"0.4","1.2",,"27","12",,"   80","   50","17.0","21.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-13","19.46",,"1.25",,"10.4","9.1",,"36","24",,"   30","   30","35.1","44.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-14","14.32",,"0.21",,"0.7","9.8",,"44","31",,"  260","  270","31.1","38.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-15","12.75",,"0.10",,"0.6","7.1",,"37","29",,"  340","  320","29.1","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-16","11.86",,"0.00",,"0.0","5.9",,"30","21",,"  290","  330","23.9","33.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-17","6.71",,"0.00",,"0.0","5.9",,"34","19",,"  340","  340","18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-18","6.04",,"0.21",,"3.0","9.1",,"45","26",,"  220","  270","18.1","23.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-19","5.37",,"0.36",,"0.0","5.1",,"46","27",,"  310","  310","23.9","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-20","5.14",,"0.00",,"0.0","3.1",,"52","29",,"  130","  130","13.0","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-21","7.38",,"0.11",,"0.0","1.2",,"63","35",,"  290","  310","32.0","42.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-22","10.07",,"0.00",,"0.0","0.0",,"59","31",,"  220","  230","25.1","29.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-23","6.49",,"0.00",,"0.0","0.0",,"57","38",,"  310","  310","21.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-24","14.32",,"0.00",,"0.0","0.0",,"40","31",,"  280","  270","29.1","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-25","9.62",,"0.00",,"0.0","0.0",,"35","26",,"  290","  280","21.0","28.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-26","10.51",,"0.09",,"1.1","0.0",,"33","20",,"  290","  270","25.9","36.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-27","14.32",,"0.00",,"0.0","0.0",,"35","16",,"  270","  260","32.0","44.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-02-28","7.16",,"0.00",,"0.0","0.0",,"26","10",,"  320","  340","25.1","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-01","4.03",,"0.00",,"0.0","0.0",,"40","17",,"  250","  250","13.0","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-02","4.70",,"0.04",,"0.0","0.0",,"42","31",,"  360","  360","13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-03","11.41",,"0.34",,"3.4","2.0",,"34","16",,"  360","  350","21.9","31.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-04","5.37",,"0.00",,"0.0","3.1",,"29","12",,"   10","   10","16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-05","7.61",,"0.00",,"0.0","3.1",,"42","19",,"  360","   10","21.9","28.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-06","11.41",,"0.00",,"0.0","0.0",,"34","21",,"   30","   40","21.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-07","10.96",,"0.00",,"0.0","0.0",,"40","27",,"   40","   10","18.1","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-08","9.17",,"0.00",,"0.0","0.0",,"58","35",,"  280","  310","23.0","30.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-09","10.74",,"0.01",,"0.0","0.0",,"48","38",,"  290","  310","19.9","27.1",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-10","9.17",,"0.00",,"0.0","0.0",,"56","36",,"  240","  220","16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-11","6.93",,"0.00",,"0.0","0.0",,"65","38",,"  230","  220","16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2014-03-12","12.97",,"0.28",,"0.0","0.0",,"69","28",,"  290","  280","38.0","46.1",,,,,,,,
